Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
Lee Kang-In Mallorca,0.2926829268292683,0.12,0.0,0.0454545454545454,0.2708333333333333,0.4411764705882353,0.5142857142857142,0.4324324324324324,0.7117647058823529,0.4210526315789473,0.1025641025641025,0.0769230769230769,0.0,0.57,0.45,0.0,0.55,0.03,0.0,0.97
Álvaro García Rayo Vallecano,0.3414634146341463,0.36,0.0493827160493827,0.0454545454545454,0.2916666666666667,0.4117647058823529,0.1428571428571428,0.2702702702702702,0.5294117647058825,0.2631578947368421,0.0769230769230769,0.0,0.0,0.51,0.23,0.03,0.68,0.03,0.05,0.88
Guido Rodríguez Real Betis,0.6585365853658538,0.44,0.2098765432098765,0.1363636363636363,0.1041666666666666,0.088235294117647,0.1999999999999999,0.4594594594594594,0.8490196078431371,0.0,0.3333333333333333,0.0769230769230769,0.55,0.0,0.2,0.59,0.01,0.07,0.46,0.0
Yeray Álvarez Athletic Bilbao,0.2926829268292683,0.7200000000000001,0.4567901234567901,0.2272727272727272,0.0833333333333333,0.1470588235294117,0.0571428571428571,0.2432432432432432,0.7313725490196079,0.0526315789473684,0.576923076923077,0.0769230769230769,0.94,0.0,0.06,0.17,0.01,0.11,0.4,0.0
Álvaro Morata Atletico,0.1219512195121951,0.0,0.0864197530864197,0.0454545454545454,0.375,0.1470588235294117,0.1714285714285714,0.4324324324324324,0.3705882352941176,0.0,0.0384615384615384,0.0,0.0,1.0,0.04,0.0,0.27,0.0,0.0,0.35
Eric García Barcelona,0.2682926829268293,0.44,0.2345679012345679,0.2727272727272727,0.0625,0.0,0.0285714285714285,0.081081081081081,0.9294117647058822,0.0,0.5256410256410257,0.0,0.95,0.0,0.05,0.2,0.0,0.02,0.47,0.0
David Silva Real Sociedad,0.2682926829268293,0.24,0.0617283950617284,0.0454545454545454,0.2291666666666666,0.3823529411764706,0.1999999999999999,0.2972972972972972,0.8098039215686275,0.0526315789473684,0.2051282051282051,0.2307692307692307,0.01,0.33,0.74,0.0,0.07,0.52,0.11,0.01
Iza Carcelén Cadiz,0.7560975609756099,0.32,0.345679012345679,0.2272727272727272,0.0625,0.088235294117647,0.1714285714285714,0.2432432432432432,0.7039215686274509,0.1052631578947368,0.1538461538461538,0.0,0.74,0.0,0.03,0.09,0.0,0.52,0.99,0.0
David García Osasuna,0.3170731707317074,0.5599999999999999,0.617283950617284,0.1363636363636363,0.1041666666666666,0.0588235294117647,0.0285714285714285,0.1351351351351351,0.7176470588235293,0.0,0.5128205128205129,0.0,0.99,0.0,0.0,0.28,0.0,0.04,0.23,0.0
André Almeida Valencia,0.4390243902439025,0.2,0.0617283950617284,0.0,0.1041666666666666,0.2941176470588235,0.3714285714285714,0.2972972972972972,0.7960784313725489,0.2105263157894736,0.1666666666666666,0.0769230769230769,0.01,0.2,0.42,0.09,0.3,0.61,0.6,0.05
