Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"91Cristian RomeroTottenham, 24, D(C)","Cristian Romero Tottenham, 24, D(C)",-,0.2,58.7,88.0,-,3.3,0.1,6.78,19(1),1735.0
"92Mohammed SalisuSouthampton, 23, D(CL)","Mohammed Salisu Southampton, 23, D(CL)",1,0.3,49.5,76.8,0.2,3.3,-,6.78,21(1),1973.0
"93Allan Saint-MaximinNewcastle, 26, AM(CLR),FW","Allan Saint-Maximin Newcastle, 26, AM(CLR),FW",4,1.2,17.6,73.7,0.2,0.8,0.1,6.78,10(9),934.0
"94Morgan Gibbs-WhiteNottingham Forest, 23, AM(CLR),FW","Morgan Gibbs-White Nottingham Forest, 23, AM(CLR),FW",5,2.1,26.8,70.6,1,1.1,0.3,6.78,24(1),2100.0
"95Eric DierTottenham, 29, D(CR),DMC","Eric Dier Tottenham, 29, D(CR),DMC",1,0.3,63.4,86.9,0.1,4.1,-,6.78,26(1),2365.0
"96William SalibaArsenal, 22, D(C)","William Saliba Arsenal, 22, D(C)",1,0.2,69.0,91.0,-,2.4,-,6.77,27,2416.0
"97Timothy CastagneLeicester, 27, D(CLR),M(LR)","Timothy Castagne Leicester, 27, D(CLR),M(LR)",3,0.6,43.4,81.1,0.5,1.1,-,6.77,26(1),2357.0
"98Antonee RobinsonFulham, 25, D(L),M(L)","Antonee Robinson Fulham, 25, D(L),M(L)",1,0.7,40.0,77.0,1,2.3,-,6.76,25,2189.0
"99Alex IwobiEverton, 26, M(CLR)","Alex Iwobi Everton, 26, M(CLR)",6,1.6,38.1,79.7,0.8,2.2,0.1,6.76,29,2572.0
"100Vicente GuaitaCrystal Palace, 36, GK","Vicente Guaita Crystal Palace, 36, GK",-,-,26.0,67.5,-,5.6,-,6.76,27,2430.0
"101Dominic SolankeBournemouth, 25, FW","Dominic Solanke Bournemouth, 25, FW",4,0.5,14.5,69.1,-,0.2,-,6.76,22(1),1976.0
"102Kalidou KoulibalyChelsea, 31, D(C)","Kalidou Koulibaly Chelsea, 31, D(C)",1,0.4,65.1,87.3,0.1,3.0,-,6.76,18(2),1612.0
"103Tomás SoucekWest Ham, 28, DMC","Tomás Soucek West Ham, 28, DMC",1,0.4,27.6,72.9,0.1,1.3,-,6.76,23(4),2069.0
"104Kiernan Dewsbury-HallLeicester, 24, M(C)","Kiernan Dewsbury-Hall Leicester, 24, M(C)",2,1.3,37.8,77.7,0.3,1.9,0.1,6.76,25(1),2054.0
"105Jacob RamseyAston Villa, 21, AM(CLR)","Jacob Ramsey Aston Villa, 21, AM(CLR)",3,1,26.3,83.7,-,0.6,-,6.76,21(4),1776.0
"106John StonesMan City, 28, D(CR)","John Stones Man City, 28, D(CR)",2,0.4,71.8,93.6,-,3.2,-,6.75,15(1),1360.0
"107Tim ReamFulham, 35, D(CL),DMC","Tim Ream Fulham, 35, D(CL),DMC",-,0.1,57.8,87.0,-,4.4,-,6.75,28,2518.0
"108RodrigoLeeds, 32, M(CLR),FW","Rodrigo Leeds, 32, M(CLR),FW",1,0.6,18.7,71.7,0.2,1.0,-,6.75,17(4),1380.0
"109NetoBournemouth, 33, GK","Neto Bournemouth, 33, GK",-,-,23.9,54.3,-,6.7,-,6.74,18,1576.0
"110Callum WilsonNewcastle, 31, FW","Callum Wilson Newcastle, 31, FW",3,0.7,7.9,72.0,0.1,0.1,-,6.74,15(5),1258.0
"111Jadon SanchoMan Utd, 23, AM(CLR)","Jadon Sancho Man Utd, 23, AM(CLR)",1,1.5,27.0,84.9,0.1,0.5,0.1,6.74,12(3),961.0
"112Andreas PereiraFulham, 27, M(CLR)","Andreas Pereira Fulham, 27, M(CLR)",6,2.1,26.0,72.7,2.3,1.7,-,6.74,28,2342.0
"113AntonyMan Utd, 23, AM(R)","Antony Man Utd, 23, AM(R)",-,0.8,29.8,81.0,0.1,0.6,-,6.74,14(1),1142.0
"114Lukasz FabianskiWest Ham, 37, GK","Lukasz Fabianski West Ham, 37, GK",-,-,21.0,58.6,-,5.4,-,6.73,25,2124.0
"115Tyler AdamsLeeds, 24, D(R),M(CR)","Tyler Adams Leeds, 24, D(R),M(CR)",-,1,55.3,82.4,-,1.7,-,6.73,24,2157.0
"116Raheem SterlingChelsea, 28, M(CLR),FW","Raheem Sterling Chelsea, 28, M(CLR),FW",2,1.4,23.6,78.2,0.4,0.2,0.1,6.73,16(3),1349.0
"117Emerson RoyalTottenham, 24, D(R),M(R)","Emerson Royal Tottenham, 24, D(R),M(R)",1,0.4,29.9,82.5,0.3,1.2,-,6.73,16(6),1392.0
"118Jack HarrisonLeeds, 26, AM(CLR),FW","Jack Harrison Leeds, 26, AM(CLR),FW",6,1.6,25.7,70.4,1.2,0.7,0.1,6.73,24(2),1933.0
"119Mason MountChelsea, 24, M(CLR)","Mason Mount Chelsea, 24, M(CLR)",2,1.3,30.3,80.3,0.7,1.0,0.1,6.72,20(3),1642.0
"120Danny WelbeckBrighton, 32, AM(CLR),FW","Danny Welbeck Brighton, 32, AM(CLR),FW",2,0.9,13.9,84.5,-,0.1,0.1,6.72,15(5),1343.0
"121Ben ChilwellChelsea, 26, D(L),M(L)","Ben Chilwell Chelsea, 26, D(L),M(L)",2,0.9,31.7,82.6,1,0.8,-,6.71,10(7),963.0
"122Amadou OnanaEverton, 21, DMC","Amadou Onana Everton, 21, DMC",1,0.6,30.9,83.7,-,1.2,-,6.71,25(2),2155.0
"123Kyle Walker-PetersSouthampton, 25, D(LR),M(R)","Kyle Walker-Peters Southampton, 25, D(LR),M(R)",-,0.5,31.9,77.9,0.4,1.0,-,6.7,21(1),1843.0
"124Nathan AkéMan City, 28, D(CL),DMC","Nathan Aké Man City, 28, D(CL),DMC",-,0.4,66.5,91.3,-,1.3,-,6.7,18(4),1602.0
"125Ivan PerisicTottenham, 34, M(CLR),FW","Ivan Perisic Tottenham, 34, M(CLR),FW",5,1.3,23.5,72.3,1.6,1.1,-,6.7,18(9),1669.0
"126Cheick DoucouréCrystal Palace, 23, DMC","Cheick Doucouré Crystal Palace, 23, DMC",2,0.8,36.4,82.8,-,1.5,0.1,6.7,26,2125.0
"127Emiliano BuendíaAston Villa, 26, M(CLR)","Emiliano Buendía Aston Villa, 26, M(CLR)",-,0.9,26.0,81.4,-,1.3,0.2,6.7,19(9),1717.0
"128Joe GomezLiverpool, 25, D(CLR)","Joe Gomez Liverpool, 25, D(CLR)",-,0.1,62.6,86.3,-,3.4,0.1,6.69,13(6),1281.0
"129Hugo LlorisTottenham, 36, GK","Hugo Lloris Tottenham, 36, GK",-,-,25.3,75.9,-,4.5,-,6.69,22,1980.0
"130Aaron RamsdaleArsenal, 24, GK","Aaron Ramsdale Arsenal, 24, GK",-,-,23.2,63.6,-,3.7,-,6.68,29,2610.0
"131Jordan PickfordEverton, 29, GK","Jordan Pickford Everton, 29, GK",1,0.1,30.9,52.9,-,7.7,-,6.68,28,2520.0
"132Nick PopeNewcastle, 30, GK","Nick Pope Newcastle, 30, GK",-,-,18.4,58.0,-,3.6,-,6.67,27,2362.0
