Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"112Álex RemiroReal Sociedad, 28, GK","Álex Remiro Real Sociedad, 28, GK",-,-,31.6,69.9,-,7.9,-,6.68,27,2430.0
"113Dani CeballosReal Madrid, 26, M(CL)","Dani Ceballos Real Madrid, 26, M(CL)",1,1,42.0,91.7,0.2,2.3,0.1,6.68,10(10),840.0
"114Fernando MartínezAlmeria, 32, GK","Fernando Martínez Almeria, 32, GK",-,-,30.5,67.3,-,6.3,-,6.67,26,2296.0
"115Nemanja GudeljSevilla, 31, D(C),M(C)","Nemanja Gudelj Sevilla, 31, D(C),M(C)",-,0.1,52.8,91.9,-,1.3,-,6.67,23(1),2054.0
"116Gonzalo PlataReal Valladolid, 22, AM(R)","Gonzalo Plata Real Valladolid, 22, AM(R)",4,1,19.9,79.0,0.2,0.2,0.1,6.67,16(7),1488.0
"117Martin BraithwaiteEspanyol, 31, AM(CLR),FW","Martin Braithwaite Espanyol, 31, AM(CLR),FW",1,0.4,13.6,65.2,0.1,0.3,-,6.67,22,1820.0
"118Óscar ValentínRayo Vallecano, 28, DMC","Óscar Valentín Rayo Vallecano, 28, DMC",-,0.6,34.9,81.4,-,2.4,-,6.66,20(4),1758.0
"119Óscar TrejoRayo Vallecano, 34, M(CLR),FW","Óscar Trejo Rayo Vallecano, 34, M(CLR),FW",4,1.4,29.4,82.6,0.1,0.6,0.2,6.66,22(3),1670.0
"120Fran GarcíaRayo Vallecano, 23, D(L)","Fran García Rayo Vallecano, 23, D(L)",2,0.7,41.6,81.9,0.8,1.6,-,6.66,27,2419.0
"121Luiz HenriqueReal Betis, 22, AM(LR)","Luiz Henrique Real Betis, 22, AM(LR)",1,0.5,15.9,77.7,0.3,0.3,-,6.66,16(8),1399.0
"122Oihan SancetAthletic Bilbao, 22, M(C),FW","Oihan Sancet Athletic Bilbao, 22, M(C),FW",-,0.9,25.8,84.1,-,0.6,0.1,6.66,23(3),1797.0
"123Óscar De MarcosAthletic Bilbao, 33, D(LR),M(CR)","Óscar De Marcos Athletic Bilbao, 33, D(LR),M(CR)",5,1.1,38.4,78.4,1.1,1.9,-,6.66,24(3),2059.0
"124Adrián EmbarbaAlmeria, 30, AM(CLR),FW","Adrián Embarba Almeria, 30, AM(CLR),FW",3,1.3,14.1,73.4,1.1,0.8,-,6.66,12(8),973.0
"125Lucas TorróOsasuna, 28, DMC","Lucas Torró Osasuna, 28, DMC",-,0.2,35.7,81.2,-,1.3,-,6.66,25(1),1979.0
"126Justin KluivertValencia, 23, AM(LR)","Justin Kluivert Valencia, 23, AM(LR)",-,0.9,13.1,78.2,0.6,0.4,-,6.66,10(10),1049.0
