Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"53Mohamed CamaraMonaco, 23, DMC","Mohamed Camara Monaco, 23, DMC",3,0.7,46.5,87.1,0.1,4.1,-,6.93,19(2),1658.0
"54Breel EmboloMonaco, 26, AM(CR),FW","Breel Embolo Monaco, 26, AM(CR),FW",2,1.0,14.5,69.7,-,0.3,-,6.93,19(9),1757.0
"55TetêLyon, 23, AM(R)","Tetê Lyon, 23, AM(R)",2,0.6,26.6,81.7,0.4,0.6,-,6.93,14(3),1114.0
"56Khéphren ThuramNice, 22, DMC","Khéphren Thuram Nice, 22, DMC",4,1.0,37.9,86.5,0.1,1.3,0.1,6.93,24(5),2106.0
"57VandersonMonaco, 21, D(R),M(R)","Vanderson Monaco, 21, D(R),M(R)",3,0.7,34.6,80.5,0.7,2.3,-,6.93,16(7),1525.0
"58Romain Del CastilloBrest, 27, AM(LR),FW","Romain Del Castillo Brest, 27, AM(LR),FW",6,1.3,21.9,72.2,1.3,1.0,0.1,6.93,12(6),1036.0
"59Rony LopesTroyes, 27, AM(CLR),FW","Rony Lopes Troyes, 27, AM(CLR),FW",5,1.7,23.8,73.7,1.2,1.3,0.1,6.92,23(2),1830.0
"60Karl Toko EkambiLyon, 30, AM(LR),FW","Karl Toko Ekambi Lyon, 30, AM(LR),FW",2,1.4,30.4,82.3,0.3,1.4,0.1,6.91,15(4),1357.0
"61Chancel MbembaMarseille, 28, D(CLR),DMC","Chancel Mbemba Marseille, 28, D(CLR),DMC",-,0.1,47.1,84.6,0.2,2.0,-,6.91,26(2),2319.0
"62Gianluigi DonnarummaPSG, 24, GK","Gianluigi Donnarumma PSG, 24, GK",-,-,20.9,83.5,-,2.0,-,6.91,29,2610.0
"63DanteNice, 39, D(C)","Dante Nice, 39, D(C)",2,0.2,69.6,90.3,-,4.4,0.1,6.91,28,2520.0
"64Jonathan GraditLens, 30, D(CR)","Jonathan Gradit Lens, 30, D(CR)",3,0.4,62.5,90.6,0.1,2.9,0.1,6.91,24,2026.0
"65Youssouf FofanaMonaco, 24, DMC","Youssouf Fofana Monaco, 24, DMC",1,0.8,48.2,82.6,-,2.8,0.2,6.9,27(1),2369.0
"66Hicham BoudaouiNice, 23, M(CR)","Hicham Boudaoui Nice, 23, M(CR)",1,0.8,38.6,88.9,0.1,1.1,0.1,6.9,14(4),1196.0
"67Rafael RatãoToulouse, 27, AM(LR)","Rafael Ratão Toulouse, 27, AM(LR)",2,1,24.8,76.9,0.3,0.8,-,6.89,21(2),1495.0
"68Axel DisasiMonaco, 25, D(C)","Axel Disasi Monaco, 25, D(C)",3,0.3,51.4,83.4,0.1,3.6,-,6.89,28(1),2520.0
"69Youcef BelaïliAC Ajaccio, 31, AM(L)","Youcef Belaïli AC Ajaccio, 31, AM(L)",3,1.3,23.6,75.3,0.9,1.4,0.1,6.88,14(2),1100.0
"70Alexander DjikuStrasbourg, 28, D(CR),DMC","Alexander Djiku Strasbourg, 28, D(CR),DMC",2,0.4,49.6,81.0,0.1,5.0,-,6.88,25,2159.0
"71Emmanuel AgbadouReims, 25, D(C),DMC","Emmanuel Agbadou Reims, 25, D(C),DMC",2,0.4,45.7,85.6,-,3.3,0.2,6.87,20(2),1796.0
"72Maxence CaqueretLyon, 23, DMC","Maxence Caqueret Lyon, 23, DMC",5,1.4,43.8,86.4,0.6,1.4,0.1,6.87,23(4),2006.0
"73Guillermo MaripánMonaco, 28, D(C)","Guillermo Maripán Monaco, 28, D(C)",-,0.1,45.0,87.3,-,3.1,-,6.87,19(1),1666.0
"74Rasmus NicolaisenToulouse, 26, D(C)","Rasmus Nicolaisen Toulouse, 26, D(C)",2,0.1,49.0,83.8,-,3.3,-,6.86,28,2457.0
"75IsmailyLille, 33, D(L)","Ismaily Lille, 33, D(L)",1,1,45.0,80.5,0.1,0.6,-,6.86,17(1),1452.0
"76Baptiste SantamaríaRennes, 28, DMC","Baptiste Santamaría Rennes, 28, DMC",-,0.6,58.1,85.3,0.1,4.7,-,6.86,14(3),1265.0
"77Alban LafontNantes, 24, GK","Alban Lafont Nantes, 24, GK",-,-,27.1,64.1,-,6.3,-,6.86,28,2520.0
"78Jordan LotombaNice, 24, D(LR),M(R)","Jordan Lotomba Nice, 24, D(LR),M(R)",2,0.6,34.6,84.1,0.4,0.7,0.1,6.86,21(5),1937.0
"79Salis Abdul SamedLens, 23, DMC","Salis Abdul Samed Lens, 23, DMC",1,0.6,62.0,92.4,0.1,1.5,0.1,6.85,27,2428.0
"80Rayan CherkiLyon, 19, AM(CLR)","Rayan Cherki Lyon, 19, AM(CLR)",4,1.9,23.4,79.3,1.2,1.1,0.2,6.85,13(13),1191.0
"81Loïs OpendaLens, 23, FW","Loïs Openda Lens, 23, FW",2,0.6,10.1,70.2,0.1,0.2,0.1,6.85,20(9),1777.0
"82Pierre Lees-MelouBrest, 29, M(CLR)","Pierre Lees-Melou Brest, 29, M(CLR)",1,0.4,42.1,84.8,0.3,5.1,-,6.84,24,2053.0
"83Stijn SpieringsToulouse, 27, M(C)","Stijn Spierings Toulouse, 27, M(C)",-,0.7,57.0,85.8,0.1,4.0,-,6.84,29,2595.0
"84Kasper SchmeichelNice, 36, GK","Kasper Schmeichel Nice, 36, GK",-,0.1,30.2,75.0,-,7.9,-,6.84,27,2430.0
"85Jordan VeretoutMarseille, 30, M(C)","Jordan Veretout Marseille, 30, M(C)",2,0.8,49.7,87.4,0.5,3.7,0.1,6.83,22(7),2054.0
"86Adrien TruffertRennes, 21, D(L),M(L)","Adrien Truffert Rennes, 21, D(L),M(L)",6,0.8,40.5,80.8,0.4,1.0,-,6.83,24(4),1962.0
"87Krépin DiattaMonaco, 24, M(CLR),FW","Krépin Diatta Monaco, 24, M(CLR),FW",2,0.8,23.3,79.4,0.5,0.4,-,6.82,18(6),1660.0
