Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"53Mohamed CamaraMonaco, 23, DMC","Mohamed Camara Monaco, 23, DMC",19(2),1658,-,3,1.0,0.7,0.9,2.2,-,1.0,1.3,6.93
"54Breel EmboloMonaco, 26, AM(CR),FW","Breel Embolo Monaco, 26, AM(CR),FW",19(9),1757,12,2,1.3,1.0,1.1,1.9,0.4,1.5,2.3,6.93
"55TetêLyon, 23, AM(R)","Tetê Lyon, 23, AM(R)",14(3),1114,6,2,1.8,0.6,1.2,1.1,0.3,0.9,1.8,6.93
"56Khéphren ThuramNice, 22, DMC","Khéphren Thuram Nice, 22, DMC",24(5),2106,2,4,1.1,1.0,1.3,0.6,0.1,0.9,0.8,6.93
"57VandersonMonaco, 21, D(R),M(R)","Vanderson Monaco, 21, D(R),M(R)",16(7),1525,1,3,0.9,0.7,0.8,0.6,-,0.7,1.0,6.93
"58Romain Del CastilloBrest, 27, AM(LR),FW","Romain Del Castillo Brest, 27, AM(LR),FW",12(6),1036,5,6,1.5,1.3,1.1,1.0,-,1.2,1.7,6.93
"59Rony LopesTroyes, 27, AM(CLR),FW","Rony Lopes Troyes, 27, AM(CLR),FW",23(2),1830,5,5,2.0,1.7,1.5,1.0,-,1.1,1.3,6.92
"60Karl Toko EkambiLyon, 30, AM(LR),FW","Karl Toko Ekambi Lyon, 30, AM(LR),FW",15(4),1357,4,2,2.2,1.4,1.4,0.5,0.1,1.3,2.0,6.91
"61Chancel MbembaMarseille, 28, D(CLR),DMC","Chancel Mbemba Marseille, 28, D(CLR),DMC",26(2),2319,4,-,0.9,0.1,0.4,0.5,-,0.3,0.6,6.91
"62Gianluigi DonnarummaPSG, 24, GK","Gianluigi Donnarumma PSG, 24, GK",29,2610,-,-,-,-,-,0.1,-,-,-,6.91
"63DanteNice, 39, D(C)","Dante Nice, 39, D(C)",28,2520,1,2,0.6,0.2,0.1,0.5,-,0.3,0.4,6.91
"64Jonathan GraditLens, 30, D(CR)","Jonathan Gradit Lens, 30, D(CR)",24,2026,1,3,0.2,0.4,0.4,1.2,-,0.3,0.7,6.91
"65Youssouf FofanaMonaco, 24, DMC","Youssouf Fofana Monaco, 24, DMC",27(1),2369,2,1,1.1,0.8,1.3,1.0,0.1,1.3,1.5,6.9
"66Hicham BoudaouiNice, 23, M(CR)","Hicham Boudaoui Nice, 23, M(CR)",14(4),1196,-,1,0.6,0.8,0.6,1.3,-,0.6,0.8,6.9
"67Rafael RatãoToulouse, 27, AM(LR)","Rafael Ratão Toulouse, 27, AM(LR)",21(2),1495,5,2,1,1,1.1,1.2,-,1.1,1.9,6.89
"68Axel DisasiMonaco, 25, D(C)","Axel Disasi Monaco, 25, D(C)",28(1),2520,2,3,0.6,0.3,0.3,0.3,-,0.4,0.4,6.89
"69Youcef BelaïliAC Ajaccio, 31, AM(L)","Youcef Belaïli AC Ajaccio, 31, AM(L)",14(2),1100,6,3,2,1.3,1.7,1.4,0.3,1.5,2.4,6.88
"70Alexander DjikuStrasbourg, 28, D(CR),DMC","Alexander Djiku Strasbourg, 28, D(CR),DMC",25,2159,1,2,0.5,0.4,0.1,0.8,-,0.3,0.2,6.88
"71Emmanuel AgbadouReims, 25, D(C),DMC","Emmanuel Agbadou Reims, 25, D(C),DMC",20(2),1796,-,2,0.8,0.4,0.2,0.2,-,0.4,1,6.87
"72Maxence CaqueretLyon, 23, DMC","Maxence Caqueret Lyon, 23, DMC",23(4),2006,1,5,0.7,1.4,1,0.8,0.1,1.4,2,6.87
"73Guillermo MaripánMonaco, 28, D(C)","Guillermo Maripán Monaco, 28, D(C)",19(1),1666,3,-,0.8,0.1,0.1,0.3,-,0.2,0.4,6.87
"74Rasmus NicolaisenToulouse, 26, D(C)","Rasmus Nicolaisen Toulouse, 26, D(C)",28,2457,-,2,0.4,0.1,0.3,0.8,-,0.1,0.3,6.86
"75IsmailyLille, 33, D(L)","Ismaily Lille, 33, D(L)",17(1),1452,2,1,0.7,1,0.6,0.9,0.1,1.3,1.1,6.86
"76Baptiste SantamaríaRennes, 28, DMC","Baptiste Santamaría Rennes, 28, DMC",14(3),1265,1,-,0.8,0.6,0.3,0.6,0.1,0.5,1.3,6.86
"77Alban LafontNantes, 24, GK","Alban Lafont Nantes, 24, GK",28,2520,-,-,-,-,-,0.1,-,-,-,6.86
"78Jordan LotombaNice, 24, D(LR),M(R)","Jordan Lotomba Nice, 24, D(LR),M(R)",21(5),1937,-,2,0.3,0.6,1.2,0.9,-,0.7,1.2,6.86
"79Salis Abdul SamedLens, 23, DMC","Salis Abdul Samed Lens, 23, DMC",27,2428,1,1,0.4,0.6,1,1.3,-,1,1.3,6.85
"80Rayan CherkiLyon, 19, AM(CLR)","Rayan Cherki Lyon, 19, AM(CLR)",13(13),1191,3,4,1.5,1.9,1.8,0.8,0.1,1.5,1.6,6.85
"81Loïs OpendaLens, 23, FW","Loïs Openda Lens, 23, FW",20(9),1777,15,2,2.4,0.6,0.3,1.2,0.5,0.7,1.3,6.85
"82Pierre Lees-MelouBrest, 29, M(CLR)","Pierre Lees-Melou Brest, 29, M(CLR)",24,2053,4,1,1.3,0.4,0.5,1.3,-,0.5,0.9,6.84
"83Stijn SpieringsToulouse, 27, M(C)","Stijn Spierings Toulouse, 27, M(C)",29,2595,2,-,0.8,0.7,0.5,1.3,-,0.7,0.8,6.84
"84Kasper SchmeichelNice, 36, GK","Kasper Schmeichel Nice, 36, GK",27,2430,-,-,-,0.1,-,-,-,-,0.1,6.84
"85Jordan VeretoutMarseille, 30, M(C)","Jordan Veretout Marseille, 30, M(C)",22(7),2054,3,2,0.8,0.8,0.4,0.4,-,0.3,0.8,6.83
"86Adrien TruffertRennes, 21, D(L),M(L)","Adrien Truffert Rennes, 21, D(L),M(L)",24(4),1962,-,6,0.4,0.8,0.8,0.9,0.1,0.5,1.0,6.83
"87Krépin DiattaMonaco, 24, M(CLR),FW","Krépin Diatta Monaco, 24, M(CLR),FW",18(6),1660,3,2,1.4,0.8,1,0.9,0.3,0.6,1.6,6.82
"88Gédéon KaluluLorient, 25, D(R)","Gédéon Kalulu Lorient, 25, D(R)",22,1980,-,3,0.4,0.9,0.9,0.7,-,0.7,1.2,6.82
"89Sead KolasinacMarseille, 29, D(CL),DMC,M(L)","Sead Kolasinac Marseille, 29, D(CL),DMC,M(L)",18(6),1488,4,1,0.7,0.4,0.1,0.4,0.1,0.3,0.9,6.81
"90Thibault De SmetReims, 24, D(L),M(L)","Thibault De Smet Reims, 24, D(L),M(L)",15,1338,-,1,-,0.3,0.2,0.5,0.1,0.3,0.9,6.81
"91Rominigue KouaméTroyes, 26, DMC","Rominigue Kouamé Troyes, 26, DMC",24,2031,1,1,0.8,0.8,1.4,1.5,-,0.9,1.3,6.8
"92Samuel GigotMarseille, 29, D(C)","Samuel Gigot Marseille, 29, D(C)",18(2),1489,2,2,0.5,0.2,0.2,0.6,0.1,0.2,0.5,6.79
"93Alidu SeiduClermont Foot, 22, D(CR)","Alidu Seidu Clermont Foot, 22, D(CR)",21,1835,-,-,0.2,0.3,1.1,2.5,-,0.5,1.2,6.79
