Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"102Kalidou KoulibalyChelsea, 31, D(C)","Kalidou Koulibaly Chelsea, 31, D(C)",18(2),1612,2,1,0.6,0.4,0.2,0.3,-,0.1,0.5,6.76
"103Tomás SoucekWest Ham, 28, DMC","Tomás Soucek West Ham, 28, DMC",23(4),2069,1,1,0.8,0.4,0.1,0.5,-,0.6,0.6,6.76
"104Kiernan Dewsbury-HallLeicester, 24, M(C)","Kiernan Dewsbury-Hall Leicester, 24, M(C)",25(1),2054,2,2,0.9,1.3,1.2,1.1,-,1,2.4,6.76
"105Jacob RamseyAston Villa, 21, AM(CLR)","Jacob Ramsey Aston Villa, 21, AM(CLR)",21(4),1776,3,3,0.6,1,0.6,1.3,-,0.8,1.9,6.76
"106John StonesMan City, 28, D(CR)","John Stones Man City, 28, D(CR)",15(1),1360,-,2,0.4,0.4,0.3,0.4,0.1,0.1,0.3,6.75
"107Tim ReamFulham, 35, D(CL),DMC","Tim Ream Fulham, 35, D(CL),DMC",28,2518,1,-,0.1,0.1,0.4,0.2,-,0.1,0.5,6.75
"108RodrigoLeeds, 32, M(CLR),FW","Rodrigo Leeds, 32, M(CLR),FW",17(4),1380,11,1,2.6,0.6,0.3,0.2,0.3,0.7,1.9,6.75
"109NetoBournemouth, 33, GK","Neto Bournemouth, 33, GK",18,1576,-,-,-,-,-,0.2,-,-,0.1,6.74
"110Callum WilsonNewcastle, 31, FW","Callum Wilson Newcastle, 31, FW",15(5),1258,8,3,2.3,0.7,0.2,1.0,0.6,1.1,2.4,6.74
"111Jadon SanchoMan Utd, 23, AM(CLR)","Jadon Sancho Man Utd, 23, AM(CLR)",12(3),961,4,1,0.7,1.5,1.3,0.4,0.2,0.7,2.1,6.74
"112Andreas PereiraFulham, 27, M(CLR)","Andreas Pereira Fulham, 27, M(CLR)",28,2342,3,6,1.6,2.1,0.5,1.0,0.1,1.7,1.6,6.74
"113AntonyMan Utd, 23, AM(R)","Antony Man Utd, 23, AM(R)",14(1),1142,3,-,2.5,0.8,1.1,1.2,0.1,0.5,1.6,6.74
"114Lukasz FabianskiWest Ham, 37, GK","Lukasz Fabianski West Ham, 37, GK",25,2124,-,-,-,-,-,0.2,-,-,-,6.73
"115Tyler AdamsLeeds, 24, D(R),M(CR)","Tyler Adams Leeds, 24, D(R),M(CR)",24,2157,-,-,0.2,1,0.3,0.9,-,0.8,1.2,6.73
"116Raheem SterlingChelsea, 28, M(CLR),FW","Raheem Sterling Chelsea, 28, M(CLR),FW",16(3),1349,4,2,1.5,1.4,1.3,1.3,0.4,2.1,2,6.73
"117Emerson RoyalTottenham, 24, D(R),M(R)","Emerson Royal Tottenham, 24, D(R),M(R)",16(6),1392,2,1,0.7,0.4,0.6,1.2,-,0.7,0.9,6.73
"118Jack HarrisonLeeds, 26, AM(CLR),FW","Jack Harrison Leeds, 26, AM(CLR),FW",24(2),1933,3,6,1,1.6,1.3,1.2,0.1,1.7,2.8,6.73
"119Mason MountChelsea, 24, M(CLR)","Mason Mount Chelsea, 24, M(CLR)",20(3),1642,3,2,1.4,1.3,0.7,1.1,-,1.2,1.6,6.72
"120Danny WelbeckBrighton, 32, AM(CLR),FW","Danny Welbeck Brighton, 32, AM(CLR),FW",15(5),1343,3,2,2,0.9,0.8,0.6,0.2,0.7,2.5,6.72
"121Ben ChilwellChelsea, 26, D(L),M(L)","Ben Chilwell Chelsea, 26, D(L),M(L)",10(7),963,2,2,0.8,0.9,0.4,0.9,0.2,0.9,0.9,6.71
"122Amadou OnanaEverton, 21, DMC","Amadou Onana Everton, 21, DMC",25(2),2155,1,1,1.1,0.6,0.6,1.6,0.1,0.6,1.6,6.71
