Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"311Marcos AndréValencia, 26, FW","Marcos André Valencia, 26, FW",3(13),427,1,-,1.1,0.2,0.6,0.8,0.1,0.3,1.2,6.22
"312Nicolás MelamedEspanyol, 21, AM(L)","Nicolás Melamed Espanyol, 21, AM(L)",7(14),528,-,2,0.5,0.2,0.6,0.8,-,0.4,0.8,6.21
"313Oier ZarragaAthletic Bilbao, 24, DMC,M(R)","Oier Zarraga Athletic Bilbao, 24, DMC,M(R)",5(15),667,-,-,0.8,0.5,0.2,0.6,-,0.4,0.3,6.2
"314Arnau PuigmalAlmeria, 22, Midfielder","Arnau Puigmal Almeria, 22, Midfielder",3(12),449,1,-,0.9,0.3,0.3,0.5,0.1,0.3,0.9,6.2
"315Dyego SousaAlmeria, 33, FW","Dyego Sousa Almeria, 33, FW",2(13),364,-,1,0.7,0.4,0.2,0.5,0.2,0.5,1.4,6.2
"316Enzo RocoElche, 30, D(C)","Enzo Roco Elche, 30, D(C)",18(1),1480,-,-,0.5,0.1,0.2,0.5,-,-,0.4,6.2
"317Gonzalo MontielSevilla, 26, D(CR),M(R)","Gonzalo Montiel Sevilla, 26, D(CR),M(R)",11(6),974,-,1,0.4,0.6,0.3,0.4,0.6,0.4,0.9,6.19
"318Robert NavarroReal Sociedad, 20, Midfielder","Robert Navarro Real Sociedad, 20, Midfielder",1(15),333,-,-,0.8,0.7,0.4,0.4,0.3,1,1.2,6.18
"319Iván AlejoCadiz, 28, AM(R)","Iván Alejo Cadiz, 28, AM(R)",9(12),884,-,1,0.7,0.6,0.3,1.3,-,0.9,1.2,6.18
"320Diego GonzálezElche, 28, D(CL)","Diego González Elche, 28, D(CL)",8(7),928,-,-,0.4,-,0.1,0.3,-,0.2,0.1,6.18
"321Gonçalo PaciênciaCelta Vigo, 28, FW","Gonçalo Paciência Celta Vigo, 28, FW",4(12),408,1,-,1.1,0.3,0.2,0.8,-,0.8,1.7,6.17
"322Hugo DuroValencia, 23, AM(L),FW","Hugo Duro Valencia, 23, AM(L),FW",9(12),992,1,-,1.1,0.3,0.1,1.3,0.1,0.7,1.2,6.17
"323Sergi GuardiolaReal Valladolid, 31, FW","Sergi Guardiola Real Valladolid, 31, FW",8(6),508,-,-,0.8,0.1,-,0.6,0.3,0.3,1.3,6.16
"324Rodrigo BattagliaMallorca, 31, M(C)","Rodrigo Battaglia Mallorca, 31, M(C)",8(7),686,-,-,0.1,0.1,-,0.7,-,0.4,0.3,6.16
"325Antonio SánchezMallorca, 25, AM(CR)","Antonio Sánchez Mallorca, 25, AM(CR)",7(15),687,-,-,0.5,0.1,0.5,0.5,-,0.7,0.9,6.15
"326JosanElche, 33, D(R),M(R)","Josan Elche, 33, D(R),M(R)",3(14),465,1,-,0.3,0.3,0.5,0.4,0.2,0.9,0.7,6.15
"327Raúl GutiElche, 26, DMC","Raúl Guti Elche, 26, DMC",10(10),888,-,-,0.8,0.1,0.2,1.0,-,0.7,0.7,6.15
"328Abdón PratsMallorca, 30, FW","Abdón Prats Mallorca, 30, FW",1(18),264,1,1,0.3,0.3,0.1,0.3,0.1,0.6,0.4,6.14
"329Manu TriguerosVillarreal, 31, M(CLR),FW","Manu Trigueros Villarreal, 31, M(CLR),FW",6(10),557,-,-,0.3,0.4,-,0.6,0.1,0.4,0.2,6.14
"330Radamel FalcaoRayo Vallecano, 37, FW","Radamel Falcao Rayo Vallecano, 37, FW",3(17),497,2,-,1.0,0.1,0.1,0.6,0.6,0.4,1.2,6.14
"331Salvi SánchezRayo Vallecano, 32, AM(R)","Salvi Sánchez Rayo Vallecano, 32, AM(R)",3(13),314,-,-,0.3,0.3,0.2,0.4,0.1,0.3,0.3,6.13
"332Jaime SeoaneGetafe, 26, M(C)","Jaime Seoane Getafe, 26, M(C)",2(12),300,-,-,0.1,0.4,0.1,0.3,-,0.4,0.3,6.13
"333Willian JoséReal Betis, 31, FW","Willian José Real Betis, 31, FW",2(19),385,1,-,0.7,0.1,-,0.1,-,0.3,0.3,6.13
"334Shon WeissmanReal Valladolid, 27, FW","Shon Weissman Real Valladolid, 27, FW",6(9),742,1,-,1.2,0.2,0.1,0.5,0.5,0.5,1.5,6.07
