Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"46Nico WilliamsAthletic Bilbao, 20, AM(LR)","Nico Williams Athletic Bilbao, 20, AM(LR)",24(2),2037,4,4,1.9,1.4,2.1,0.9,0.4,1.4,2.3,6.88
"47Ronald AraújoBarcelona, 24, D(CR)","Ronald Araújo Barcelona, 24, D(CR)",14(1),1200,-,2,0.7,0.2,0.4,0.5,0.1,0.3,0.2,6.87
"48Takefusa KuboReal Sociedad, 21, AM(CLR),FW","Takefusa Kubo Real Sociedad, 21, AM(CLR),FW",21(3),1752,5,3,2.1,1.0,0.9,1.4,0.7,1.5,2.5,6.87
"49Guido RodríguezReal Betis, 28, DMC","Guido Rodríguez Real Betis, 28, DMC",22(1),1888,-,-,0.5,0.3,0.7,1.7,-,0.7,0.6,6.87
"50Yeray ÁlvarezAthletic Bilbao, 28, D(C)","Yeray Álvarez Athletic Bilbao, 28, D(C)",22,1900,1,1,0.4,0.5,0.2,0.9,-,-,0.2,6.86
"51Álvaro MorataAtletico, 30, AM(L),FW","Álvaro Morata Atletico, 30, AM(L),FW",17(10),1420,10,2,1.8,0.5,0.6,1.6,0.8,0.7,1.5,6.85
"52Alexander SørlothReal Sociedad, 27, AM(R),FW","Alexander Sørloth Real Sociedad, 27, AM(R),FW",21(2),1734,9,1,1.9,0.9,0.7,0.4,0.6,2.1,2.7,6.84
"53Eric GarcíaBarcelona, 22, D(C)","Eric García Barcelona, 22, D(C)",12(3),1001,1,-,0.3,-,0.1,0.3,-,-,0.4,6.84
"54Pau TorresVillarreal, 26, D(C)","Pau Torres Villarreal, 26, D(C)",24,2155,-,-,0.3,0.5,0.8,0.6,-,0.2,0.6,6.84
"55Álex MorenoReal Betis, 29, D(L),M(L)","Álex Moreno Real Betis, 29, D(L),M(L)",15,1350,-,3,0.9,0.6,0.9,1.3,0.1,0.4,1.9,6.83
"56Aitor FernándezOsasuna, 31, GK","Aitor Fernández Osasuna, 31, GK",14,1260,-,-,-,-,-,-,-,-,0.1,6.82
"57David SilvaReal Sociedad, 37, M(CLR),FW","David Silva Real Sociedad, 37, M(CLR),FW",18(2),1403,1,4,1.1,1.3,0.7,1.1,0.2,1.1,1.3,6.82
